name,description,image,videoID,level,slug
My Chemical Romance - Welcome To The Black Parade [Official Music Video] [HD],Watch the official music video for Welcome To The Black Parade by My Chemical Romance remastered in HD to celebrate the 15th anniversary of the album The Black Parade,https://img.youtube.com/vi/RRKJiM9Njr8/sddefault.jpg,RRKJiM9Njr8,easy,welcometotheblackparade
George Michael - Careless Whisper (Official Video),George Michael - Careless Whisper (Official Video),https://img.youtube.com/vi/izGwDsrQ1eQ/sddefault.jpg,izGwDsrQ1eQ,easy,carelesswhisper
